Current Error Message,Error Code,New Error Message,Help Error Message
Phone 2 is not valid; skipping phone import,F08,Phone 2 is not valid; skipping phone import,Phone 2 is not in the proper format (555-555-5555).  Data was imported successfully but the phone 2 data was ignored.
Invalid gender; using null,F09,Invalid gender; using null,Gender is not in the proper format.  Acceptable gender values are M or F.  Update the gender for the user to either M or F.
Entry Date is not a proper date value.,F10,Entry Date is not a proper date value.,Entry date is not in the proper format (mm/dd/yyyy or yyyy-mm-dd).  Update the entry date to align to the proper date format.
Student not found,M01,Student not found,Student ID does not exist in Illuminate.  This student ID may not have been included in your studemo.txt file or there is an error that prevented it from being successfully imported during the student demographic import process.  Check your student demographic import logs or your studemo.txt file.
Student not found!,M01,Student not found,Student ID does not exist in Illuminate.  This student ID may not have been included in your studemo.txt file or there is an error that prevented it from being successfully imported during the student demographic import process.  Check your student demographic import logs or your studemo.txt file.
Invalid value for Student (students.local_student_id),M01,Student not found,Student ID does not exist in Illuminate.  This student ID may not have been included in your studemo.txt file or there is an error that prevented it from being successfully imported during the student demographic import process.  Check your student demographic import logs or your studemo.txt file.
User not found using local_user_id,M02,User not found,User ID does not exist in Illuminate.  This user ID may not have been included in your users.txt file or there is an error that prevented it from being successfully imported during the user import process.  Check your user import logs or your users.txt file.
user_id doesn't exists in the system,M02,User not found,User ID does not exist in Illuminate.  This user ID may not have been included in your users.txt file or there is an error that prevented it from being successfully imported during the user import process.  Check your user import logs or your users.txt file.
Invalid value for User (users.local_user_id),M02,User not found,User ID does not exist in Illuminate.  This user ID may not have been included in your users.txt file or there is an error that prevented it from being successfully imported during the user import process.  Check your user import logs or your users.txt file.
Section not found using local_section_id and session_id,M03,Section not found,Section ID does not exist in Illuminate.  This section id may not have been included in your mastschd.txt file or there is an error that prevented it from being successfully imported during the master schedule import process.  Check your master schedule import logs or your mastschd.txt file.
Session not found for the given session type,M04,Session not found,Site ID is not active during this academic year and session type.  There is no record that this site is in session during the stated academic year.  A session must exist in Illuminate before data can be imported for an academic year (Admin > Sessions).
"Session not found using site_id, session_type and academic_year",M04,Session not found,Site ID is not active during this academic year and session type.  There is no record that this site is in session during the stated academic year.  A session must exist in Illuminate before data can be imported for an academic year (Admin > Sessions).
Found no session for this academic year,M04,Session not found,Site ID is not active during this academic year and session type.  There is no record that this site is in session during the stated academic year.  A session must exist in Illuminate before data can be imported for an academic year (Admin > Sessions).
No enrollment session found,M04,Session not found,Student program data exists for an academic year where the student has no enrollment.  Either adjust the program record or ensure that the student has matching enrollment.
Something is wrong; no terms found,M05,Term not found,Term ID does not exist in Illuminate.  The term ID in this record has not been properly defined or is not being transformed during import to the proper term value.  Talk to the Illuminate data team about this error.
Invalid value for Site (sites.site_id),M06,Site not found,Site ID does not exist in Illuminate.  The site ID in this record has not been properly defined or is not being transformed during import to the proper site value.  Talk to the Illuminate data team about this error.
Duplicate username detected. Skipping.,O01,Duplicate username detected. Skipping.,Username provided appears to be a duplicate.  Usernames must be unique.  Data was successfully imported but this username was ignored.  Review the username data in your users.txt file.
ISI student contact data cannot be imported when contact data is already present,O02,ISI student contact data cannot be imported when contact data is already present,ISI student contact data cannot be imported when contact data is already present.
"There are no valid address, state or city; skipping import on contacts dwellings",O03,"There are no valid address, state or city; skipping import on contacts dwellings","The address, state, or city provided are not valid.  Data was successfully imported but the dwelling portion of this import record was ignored."
Birthdate is required but is empty.,R01,Birthdate is required but is empty.,Birth date is a required field but is empty.  Provide a properly formatted (mm/dd/yyyy or yyyy-mm-dd) value for the student's birth date in the student demographic record.
Birth Date is required but is empty.,R01,Birth Date is required but is empty.,Birth date is a required field but is empty.  Provide a properly formatted (mm/dd/yyyy or yyyy-mm-dd) value for the student's birth date in the student demographic record.
Contact Last Name is required but is empty.,R02,Contact Last Name is required but is empty.,Contact last name is a required field but is empty.  Provide a contact last name in the contact record.
Entry Date is required but is empty.,R03,Entry Date is required but is empty.,Roster entry date is a required field but is empty.  Provide a properly formatted (mm/dd/yyyy or yyyy-mm-dd) entry date for in the roster record.  
First Name is required but is empty.,R04,First Name is required but is empty.,First name is a required field but is empty.  Provide a student first name in the student record.
Last Name is required but is empty.,R05,Last Name is required but is empty.,Last name is a required field but is empty.  Provide a student last name in the student record.
Local Student is required but is empty.,R06,Import ID is required but is empty,Import ID (student ID) is a required field but is empty.  Provide a student ID in the student record.
Local Student is required but is empty.,R06,Import ID is required but is empty,Import ID (student ID) is a required field but is empty.  Provide a student ID in the student record.
Student is required but is empty.,R06,Import ID is required but is empty,Import ID (student ID) is a required field but is empty.  Provide a student ID in the student record.
Student is required but is empty.,R06,Import ID is required but is empty,Import ID (student ID) is a required field but is empty.  Provide a student ID in the student record.
Local User is required but is empty.,R07,Local User is required but is empty.,User ID is a required field but is empty.  Provide a user ID in the user record.
Long Name is required but is empty.,R08,Long Name is required but is empty.,Long name is a required field but is empty.  Provide a long name in the course record.
Operating District is required but is empty.,R09,Operating District is required but is empty.,Operating district is a required field but is empty.  Provide a operating district in the student record.
Program is required but is empty.,R10,Program is required but is empty.,Program ID is a required field but is empty.  Provide a program ID in the program record.
Resident District is required but is empty.,R11,Resident District is required but is empty.,Resident district is a required field but is empty.  Provide a resident district in the student record.
Start Date is required but is empty.,R12,Start Date is required but is empty.,Start date is a required field but is empty.  Provide a properly formatted (mm/dd/yyyy or yyyy-mm-dd) program start date in the program record.
Start Grade Level is required but is empty.,R13,Start Grade Level is required but is empty.,Start grade level is a required field but is empty.  Provide a start grade level in the course record.
Uic is required but is empty.,R14,State Student ID is required but is empty.,State student ID is a required field but is empty.  Please provide a state student ID in the student record.
